Year,Make,Model,Price,KM Driven,Fuel Type,Transmission,Location_code,Location,Link
2014,Amaze,1.2L I-VTEC VX,364000.0,110000.0,Petrol,Manual,KA-51,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",https://www.cars24.com/buy-used-honda-amaze-2014-cars-bangalore-10203605776/
2015,Jazz,1.2L I-VTEC V AT,469000.0,69840.0,Petrol,Auto,KA-03,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore",https://www.cars24.com/buy-used-honda-jazz-2015-cars-bangalore-10248907778/
2016,Amaze,1.2L I-VTEC VX AT,447000.0,41390.0,Petrol,Auto,KA-03,"Bellahalli, Bengaluru",https://www.cars24.com/buy-used-honda-amaze-2016-cars-bangalore-10280302716/
2021,Amaze,1.2L I-VTEC VX CVT,684000.0,50020.0,Petrol,Auto,KA-03,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru",https://www.cars24.com/buy-used-honda-amaze-2021-cars-bangalore-10290405713/
2014,City,1.5L I-VTEC VX CVT,517000.0,96170.0,Petrol,Auto,KA-05,"Hosur Road, Chikku Lakshmaiah Layout, Koramangala, Bangalore",https://www.cars24.com/buy-used-honda-city-2014-cars-bangalore-10203848784/
2023,City,1.5L I-VTEC ZX CVT,1450000.0,45550.0,Petrol,Auto,KA-02,"GT World Mall, Bengaluru",https://www.cars24.com/buy-used-honda-city-2023-cars-bangalore-10261807776/
2018,City,1.5L I-VTEC VX CVT,758000.0,94740.0,Petrol,Auto,KA-01,"Bellahalli, Bengaluru",https://www.cars24.com/buy-used-honda-city-2018-cars-bangalore-10139740737/
2014,Amaze,1.5L I-DTEC S,474000.0,32850.0,Diesel,Manual,KA-03,Munnekollal Bengaluru,https://www.cars24.com/buy-used-honda-amaze-2014-cars-bangalore-10278500717/
2020,City,1.5L I-VTE V CVT,699000.0,61910.0,Petrol,Auto,DL-4C,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-honda-city-2020-cars-new-delhi-10063140701/
2018,Jazz,1.2L I-VTEC V,415000.0,37170.0,Petrol,Manual,DL-10,Rajouri Garden,https://www.cars24.com/buy-used-honda-jazz-2018-cars-new-delhi-10131705752/
2017,City,1.5L I-VTEC VX,555000.0,88400.0,Petrol,Manual,DL-14,Rajouri Garden,https://www.cars24.com/buy-used-honda-city-2017-cars-new-delhi-10595701712/
2017,WR-V,1.2L I-VTEC VX MT,425000.0,60450.0,Petrol,Manual,DL-10,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-honda-wr-v-2017-cars-new-delhi-10071003797/
2017,WR-V,1.2L I-VTEC S MT,391000.0,55910.0,Petrol,Manual,DL-14,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-honda-wr-v-2017-cars-new-delhi-10010303719/
2017,City,1.5L I-VTEC V MT,518000.0,62910.0,Petrol,Manual,DL-10,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-honda-city-2017-cars-new-delhi-10556408711/
2024,ELEVATE,ZX CVT,1395000.0,17650.0,Petrol,Auto,DL-11,Rajouri Garden,https://www.cars24.com/buy-used-honda-elevate-2024-cars-new-delhi-10083107712/
2015,Amaze,1.2L I-VTEC E,246000.0,55600.0,Petrol,Manual,DL-5C,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-honda-amaze-2015-cars-new-delhi-11258445710/
2018,City,1.5L I-VTEC V MT,583000.0,26530.0,Petrol,Manual,DL-10,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-honda-city-2018-cars-new-delhi-10007604776/
2020,WR-V,1.2L I-VTEC SV MT,504000.0,70370.0,Petrol,Manual,DL-8C,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-honda-wr-v-2020-cars-new-delhi-10078807797/
2020,WR-V,1.2L I-VTEC S MT,575000.0,56680.0,CNG,Manual,DL-10,Rajouri Garden,https://www.cars24.com/buy-used-honda-wr-v-2020-cars-new-delhi-10079905711/
2014,City,1.5L I-VTEC SV CVT,356000.0,89950.0,Petrol,Auto,DL-10,Rajouri Garden,https://www.cars24.com/buy-used-honda-city-2014-cars-new-delhi-10510947761/
2014,Brio,VX MT,226000.0,68920.0,Petrol,Manual,HR-26,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-honda-brio-2014-cars-new-delhi-10596240738/
2016,City,1.5L I-VTEC VX CVT,508000.0,91990.0,Petrol,Auto,DL-9C,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-honda-city-2016-cars-new-delhi-10080004793/
2017,BR-V,1.5L I-VTEC S,482000.0,97440.0,Petrol,Manual,DL-10,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-honda-br-v-2017-cars-new-delhi-10047840702/
2015,City,1.5L I-VTEC SV,381000.0,48190.0,Petrol,Manual,DL-4C,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-honda-city-2015-cars-new-delhi-10054942764/
